"AÑO","CODIGOAP","CODIGOPROGRAMA","CODIGOINCISO","CODIGOUNIDADEJECUTORA","ASIGNACION","EJECUCION","PFI","CODIGOTEMA","CODIGOSUBTEMA"
"2016","11","402","13","5","211000","210934","Inversión","37","2006"
"2016","11","402","13","5","7396993","4911028","Personal","37","2006"
"2017","11","402","13","5","271000","75611","Funcionamiento","37","2006"
"2017","11","402","13","5","211000","189247","Inversión","37","2006"
"2017","11","402","13","5","8402352","7128684","Personal","37","2006"
"2018","11","402","13","5","267240","0","Funcionamiento","37","2006"
"2018","11","402","13","5","211000","0","Inversión","37","2006"
"2018","11","402","13","5","9502134","0","Personal","37","2006"
"2019","11","402","13","5","267239","0","Funcionamiento","37","2006"
"2019","11","402","13","5","211000","0","Inversión","37","2006"
"2019","11","402","13","5","9874253","0","Personal","37","2006"
"2011","7","320","21","21","80401042","80401042","Funcionamiento","37","2001"
"2012","7","320","21","21","95262308","95262308","Funcionamiento","37","2001"
"2013","7","320","21","21","514942445","514942445","Funcionamiento","37","2001"
"2014","7","320","21","21","495355018","495355018","Funcionamiento","37","2001"
"2015","7","320","21","21","560090178","560090178","Funcionamiento","37","2001"
"2016","7","320","21","21","659128343","659128343","Funcionamiento","37","2001"
"2017","7","320","21","21","733973883","733973883","Funcionamiento","37","2001"
"2018","7","320","21","21","1063730197","0","Funcionamiento","37","2001"
"2019","7","320","21","21","500128379","0","Funcionamiento","37","2001"
"2011","11","402","22","25","104032125","104032125","Funcionamiento","37","2001"
"2012","11","402","22","25","104417331","104417331","Funcionamiento","37","2001"
"2013","11","402","22","25","77835191","77835191","Funcionamiento","37","2001"
"2014","11","402","22","25","79670395","79670395","Funcionamiento","37","2001"
"2015","11","402","22","25","92414654","92414654","Funcionamiento","37","2001"
"2016","11","402","22","25","77590352","77590352","Funcionamiento","37","2001"
"2017","11","402","22","25","88395937","88395937","Funcionamiento","37","2001"
"2018","11","402","22","25","120000000","0","Funcionamiento","37","2001"
"2019","11","402","22","25","120000000","0","Funcionamiento","37","2001"
"2011","11","402","22","29","18527703","18527703","Funcionamiento","37","2001"
"2012","11","402","22","29","15702998","15702998","Funcionamiento","37","2001"
"2013","11","402","22","29","18712353","18712353","Funcionamiento","37","2001"
"2014","11","402","22","29","2439792","2439792","Funcionamiento","37","2001"
"2011","11","402","22","18","1188324","1188324","Funcionamiento","37","2001"
"2012","11","402","22","18","574043","574043","Funcionamiento","37","2001"
"2013","11","402","22","18","824909","824909","Funcionamiento","37","2001"
"2011","11","402","22","27","1549561","1549561","Funcionamiento","37","2001"
"2012","11","402","22","27","2545855","2545855","Funcionamiento","37","2001"
"2013","11","402","22","27","3116103","3116103","Funcionamiento","37","2001"
"2014","11","402","22","27","7238","7238","Funcionamiento","37","2001"
"2011","11","402","22","9","2741056","1853220","Funcionamiento","37","2001"
"2012","11","402","22","9","3420724","3420724","Funcionamiento","37","2001"
"2013","11","402","22","9","1823605","1823605","Funcionamiento","37","2001"
"2014","11","402","22","9","178888","178888","Funcionamiento","37","2001"
"2011","11","402","22","3","1062982","1062982","Funcionamiento","37","2001"
"2011","11","402","22","3","24671092","24671092","Funcionamiento","37","2003"
"2012","11","402","22","3","2025532","2025532","Funcionamiento","37","2001"
"2012","11","402","22","3","23817593","23817593","Funcionamiento","37","2003"
"2013","11","402","22","3","1351688","1351688","Funcionamiento","37","2001"
"2013","11","402","22","3","21984207","21984207","Funcionamiento","37","2003"
"2014","11","402","22","3","104690","104690","Funcionamiento","37","2001"
"2014","11","402","22","3","20676509","20676509","Funcionamiento","37","2003"
"2015","11","402","22","3","17789503","17789503","Funcionamiento","37","2003"
"2016","11","402","22","3","15053542","15053542","Funcionamiento","37","2003"
"2017","11","402","22","3","13388249","13388249","Funcionamiento","37","2003"
"2018","11","402","22","3","22068781","0","Funcionamiento","37","2003"
"2019","11","402","22","3","22068771","0","Funcionamiento","37","2003"
"2011","11","402","22","11","3446034","3446034","Funcionamiento","37","2001"
"2012","11","402","22","11","3486598","3486598","Funcionamiento","37","2001"
"2013","11","402","22","11","3349888","3349888","Funcionamiento","37","2001"
"2014","11","402","22","11","16800","16800","Funcionamiento","37","2001"
"2011","11","402","22","5","6835957","6835957","Funcionamiento","37","2001"
"2012","11","402","22","5","7262901","7262901","Funcionamiento","37","2001"
"2013","11","402","22","5","8836990","8836990","Funcionamiento","37","2001"
"2014","11","402","22","5","89300","89300","Funcionamiento","37","2001"
"2011","11","402","22","7","3525131","3525131","Funcionamiento","37","2001"
"2012","11","402","22","7","7253864","7253864","Funcionamiento","37","2001"
"2013","11","402","22","7","6416848","6416848","Funcionamiento","37","2001"
"2014","11","402","22","7","581244","581244","Funcionamiento","37","2001"
"2011","11","402","22","4","5849828","5849828","Funcionamiento","37","2002"
"2012","11","402","22","4","4739937","4739937","Funcionamiento","37","2002"
"2013","11","402","22","4","6088432","6088432","Funcionamiento","37","2002"
"2014","11","402","22","4","4835134","4835134","Funcionamiento","37","2002"
"2015","11","402","22","4","6088432","5221212","Funcionamiento","37","2002"
"2016","11","402","22","4","3447167","3447167","Funcionamiento","37","2002"
"2017","11","402","22","4","2397372","2397372","Funcionamiento","37","2002"
"2018","11","402","22","4","6088432","0","Funcionamiento","37","2002"
"2019","11","402","22","4","6088432","0","Funcionamiento","37","2002"
"2011","11","402","22","15","91564","91564","Funcionamiento","37","2001"
"2012","11","402","22","15","40790","40790","Funcionamiento","37","2001"
"2013","11","402","22","15","176131","176131","Funcionamiento","37","2001"
"2011","11","402","22","8","24116","24116","Funcionamiento","37","2001"
"2012","11","402","22","8","125973","125973","Funcionamiento","37","2001"
"2013","11","402","22","8","184481","184481","Funcionamiento","37","2001"
"2011","11","402","22","6","367427","367427","Funcionamiento","37","2001"
"2012","11","402","22","6","990587","990587","Funcionamiento","37","2001"
"2013","11","402","22","6","1355976","1355976","Funcionamiento","37","2001"
"2014","11","402","22","6","22547","22547","Funcionamiento","37","2001"
"2011","11","402","22","12","607092","607092","Funcionamiento","37","2001"
"2012","11","402","22","12","633024","633024","Funcionamiento","37","2001"
"2013","11","402","22","12","1177489","1177489","Funcionamiento","37","2001"
"2011","11","402","22","10","3574197","3574197","Funcionamiento","37","2001"
"2012","11","402","22","10","3828381","3828381","Funcionamiento","37","2001"
"2013","11","402","22","10","3616350","3616350","Funcionamiento","37","2001"
"2014","11","402","22","10","104595","104595","Funcionamiento","37","2001"
"2011","11","402","22","13","557150","557150","Funcionamiento","37","2001"
"2012","11","402","22","13","851625","851625","Funcionamiento","37","2001"
"2013","11","402","22","13","822880","822880","Funcionamiento","37","2001"
"2011","11","402","22","14","124720","124720","Funcionamiento","37","2001"
"2012","11","402","22","14","143144","143144","Funcionamiento","37","2001"
"2013","11","402","22","14","366266","366266","Funcionamiento","37","2001"
"2014","11","402","22","14","114391","114391","Funcionamiento","37","2001"
"2011","11","402","22","16","2777342","2777342","Funcionamiento","37","2001"
